Id;Date;Begin;End;Distance(m);Speed(km/h)
63;06/07/2023;17:38:17;17:38:20;12.43;44.74
64;06/07/2023;17:38:17;17:38:20;15.63;56.27
65;06/07/2023;17:38:19;17:38:22;11.71;42.15
63;06/07/2023;17:38:20;17:38:24;13.03;46.92
66;06/07/2023;17:38:21;17:38:24;15.39;55.41
65;06/07/2023;17:38:22;17:38:26;9.77;35.18
63;06/07/2023;17:38:24;17:38:27;13.89;50.01
67;06/07/2023;17:38:24;17:38:27;18.73;67.43
66;06/07/2023;17:38:24;17:38:27;18.60;66.97
68;06/07/2023;17:38:24;17:38:28;5.86;21.08
65;06/07/2023;17:38:26;17:38:29;12.07;43.47
67;06/07/2023;17:38:27;17:38:31;20.99;75.57
66;06/07/2023;17:38:27;17:38:31;17.94;64.60
68;06/07/2023;17:38:28;17:38:31;10.82;38.95
65;06/07/2023;17:38:29;17:38:33;11.49;41.36
67;06/07/2023;17:38:31;17:38:34;19.29;69.43
66;06/07/2023;17:38:31;17:38:35;17.79;64.04
68;06/07/2023;17:38:31;17:38:35;10.80;38.86
65;06/07/2023;17:38:33;17:38:37;11.49;41.36
69;06/07/2023;17:38:33;17:38:37;16.05;57.77
67;06/07/2023;17:38:34;17:38:38;19.67;70.80
66;06/07/2023;17:38:35;17:38:39;17.61;63.39
68;06/07/2023;17:38:35;17:38:39;11.62;41.83
65;06/07/2023;17:38:37;17:38:40;9.28;33.39
69;06/07/2023;17:38:37;17:38:41;15.18;54.67
71;06/07/2023;17:38:38;17:38:42;11.16;40.16
66;06/07/2023;17:38:39;17:38:42;17.48;62.93
68;06/07/2023;17:38:39;17:38:42;10.41;37.47
72;06/07/2023;17:38:41;17:38:45;14.87;53.52
69;06/07/2023;17:38:41;17:38:45;15.88;57.16
73;06/07/2023;17:38:41;17:38:45;19.68;70.84
74;06/07/2023;17:38:42;17:38:45;18.28;65.79
75;06/07/2023;17:38:42;17:38:46;8.53;30.70
76;06/07/2023;17:38:42;17:38:46;9.67;34.82
68;06/07/2023;17:38:42;17:38:46;12.79;46.05
71;06/07/2023;17:38:42;17:38:47;10.56;33.35
72;06/07/2023;17:38:45;17:38:48;15.28;55.01
73;06/07/2023;17:38:45;17:38:49;21.13;76.07
74;06/07/2023;17:38:45;17:38:49;18.90;68.03
75;06/07/2023;17:38:46;17:38:49;11.20;40.32
76;06/07/2023;17:38:46;17:38:50;11.22;40.38
68;06/07/2023;17:38:46;17:38:50;12.28;44.20
71;06/07/2023;17:38:47;17:38:50;10.05;36.19
72;06/07/2023;17:38:48;17:38:52;15.33;55.20
73;06/07/2023;17:38:49;17:38:53;20.47;73.69
74;06/07/2023;17:38:49;17:38:53;18.70;67.31
75;06/07/2023;17:38:49;17:38:53;12.23;44.03
76;06/07/2023;17:38:50;17:38:54;11.14;40.12
71;06/07/2023;17:38:50;17:38:54;11.14;40.12
73;06/07/2023;17:38:53;17:38:56;24.38;87.78
74;06/07/2023;17:38:53;17:38:57;17.80;64.09
75;06/07/2023;17:38:53;17:38:57;10.85;39.07
76;06/07/2023;17:38:54;17:38:57;10.54;37.95
71;06/07/2023;17:38:54;17:38:58;12.01;43.23
73;06/07/2023;17:38:56;17:39:00;19.92;71.71
77;06/07/2023;17:38:56;17:39:00;17.35;62.47
74;06/07/2023;17:38:57;17:39:00;16.72;60.21
75;06/07/2023;17:38:57;17:39:01;11.52;41.46
76;06/07/2023;17:38:57;17:39:01;11.36;40.89
71;06/07/2023;17:38:58;17:39:01;10.18;36.66
77;06/07/2023;17:39:00;17:39:04;15.78;56.81
75;06/07/2023;17:39:01;17:39:04;12.57;45.24
76;06/07/2023;17:39:01;17:39:05;12.02;43.27
78;06/07/2023;17:39:01;17:39:05;10.29;37.03
